"proportion","nrow","coverage","median_bias","median_width","n"
0.01,5,0.858536585365854,-0.14558454006289,24.4602178255381,1230
0.01,6,0.879674796747967,-0.268478658030593,17.5416377297505,1230
0.01,7,0.895934959349593,-0.2911889309003,13.9013280466889,1230
0.01,8,0.901626016260163,-0.344174673974196,11.6156609095033,1230
0.05,5,0.850406504065041,0.262170500198231,12.0871484543187,1230
0.05,6,0.865853658536585,0.157525133060699,9.44994012892963,1230
0.05,7,0.88780487804878,0.110408477782896,7.98409837292547,1230
0.05,8,0.895121951219512,0.0804797667930287,6.90352183898132,1230
0.1,5,0.851219512195122,0.273127105014359,8.28037653339682,1230
0.1,6,0.860975609756098,0.185044978820723,6.73005622450372,1230
0.1,7,0.882926829268293,0.141291871171466,6.10926778736001,1230
0.1,8,0.879674796747967,0.111644855044131,5.33638902507542,1230
0.2,5,0.848780487804878,0.225706506507712,5.26496051216603,1230
0.2,6,0.869105691056911,0.178378116871016,4.51412547418691,1230
0.2,7,0.878048780487805,0.13981854501762,4.16061651924767,1230
0.2,8,0.878861788617886,0.108990532147128,3.89976450774773,1230
