"dataset","nrow","distribution","n_sims","q10","q25","q50","q75","q90"
"anzg_alpha_cypermethrin_fresh",26,"gamma",500,1.86187731428896e-06,3.34209240545968e-05,0.00138658503140861,0.0228274833874108,0.124435800433421
"anzg_alpha_cypermethrin_fresh",26,"lgumbel",500,0.00526148856000639,0.0282776851690208,0.119056302921156,0.319378782968357,0.546981563696648
"anzg_alpha_cypermethrin_fresh",26,"llogis",500,0.08009846786725,0.138701405402428,0.229753525818022,0.327477994718126,0.437517132654261
"anzg_alpha_cypermethrin_fresh",26,"lnorm",500,0.0976127945965514,0.215789956678436,0.3345608335381,0.425221473264435,0.466945334930894
"anzg_alpha_cypermethrin_fresh",26,"lnorm_lnorm",500,0.00820539922912303,0.0116273735167399,0.023475139956685,0.0721701787194336,0.220688484755947
"anzg_alpha_cypermethrin_fresh",26,"weibull",500,0.00171878362436512,0.0101014750789323,0.0579503646814076,0.179201850805375,0.353900224245723
"anzg_aluminium_marine",5,"gamma",500,5.02597640562695e-16,2.83308418921495e-15,1.64236844516921e-14,4.87398255679059e-14,8.07533026036134e-14
"anzg_aluminium_marine",5,"lgumbel",500,4.08072412728457e-16,3.31654918254882e-15,1.73913198557344e-14,5.21989641072583e-14,8.05453915016495e-14
"anzg_aluminium_marine",5,"llogis",500,4.32348563357513e-16,3.43998108124028e-15,1.61880023822736e-14,4.93380089856811e-14,7.25528976313203e-14
"anzg_aluminium_marine",5,"lnorm",500,5.25662644625752e-16,4.08139959954766e-15,1.92104868387195e-14,5.5756829339672e-14,8.42602584405258e-14
"anzg_aluminium_marine",5,"lnorm_lnorm",500,0.999999999999638,0.999999999999732,0.999999999999903,0.99999999999998,0.999999999999997
"anzg_aluminium_marine",5,"weibull",500,5.65570376792682e-16,3.14477266935753e-15,1.7841778646084e-14,5.52338049061962e-14,8.21049771360662e-14
"anzg_aluminium_marine",6,"gamma",500,0.0562239159598859,0.111803076991595,0.182373979230995,0.262220649673254,0.322203175338425
"anzg_aluminium_marine",6,"lgumbel",500,0.0600814103131883,0.113204087375826,0.201624109584663,0.304456456364363,0.451916812792965
"anzg_aluminium_marine",6,"llogis",500,0.135199858602695,0.15337108607475,0.173953092568066,0.197448009911211,0.221817679145907
"anzg_aluminium_marine",6,"lnorm",500,0.148461431170043,0.185228438994129,0.22086621807818,0.236393269234679,0.249210873144859
"anzg_aluminium_marine",6,"lnorm_lnorm",500,0,0,0,0,0
"anzg_aluminium_marine",6,"weibull",500,0.0799780733488789,0.134760410282752,0.194288734503672,0.255907311107669,0.311433188603461
"anzg_aluminium_marine",7,"gamma",500,0.0396089055996622,0.0897250188601512,0.170434495491858,0.262518758148032,0.343568989155433
"anzg_aluminium_marine",7,"lgumbel",500,0.0510341323389054,0.102605760267068,0.205274532579955,0.327566344596949,0.460023109970296
"anzg_aluminium_marine",7,"llogis",500,0.124567271990369,0.153247115154065,0.174597797216781,0.203283026976115,0.235477116635579
"anzg_aluminium_marine",7,"lnorm",500,0.140632877796053,0.188564039924042,0.226799241851243,0.244321407247648,0.260469410107328
"anzg_aluminium_marine",7,"lnorm_lnorm",500,6.17232359066143e-15,8.48730109306317e-15,2.15238009626416e-14,7.46357062990186e-14,4.24344722732932e-13
"anzg_aluminium_marine",7,"weibull",500,0.0770121127576486,0.124900295450115,0.18911284544308,0.26648019780746,0.313434947122768
"anzg_aluminium_marine",8,"gamma",500,0.0269842027543824,0.0714787540645051,0.154436147026778,0.261726870237462,0.34061894439295
"anzg_aluminium_marine",8,"lgumbel",500,0.0485760445449791,0.0955993331521128,0.201150774589199,0.344171032687266,0.497707312417581
"anzg_aluminium_marine",8,"llogis",500,0.127100331125986,0.149868977927271,0.178685998371507,0.207654695719724,0.247085730067865
"anzg_aluminium_marine",8,"lnorm",500,0.137786910162261,0.189016708351338,0.231406989156367,0.255113353699129,0.272367438057495
"anzg_aluminium_marine",8,"lnorm_lnorm",500,1.5511579210509e-08,2.41200910899612e-08,5.76496206392101e-08,1.80030278006398e-07,8.65494438444566e-07
"anzg_aluminium_marine",8,"weibull",500,0.0599355405474013,0.113596521032755,0.187733057856431,0.262712514473293,0.317725163946188
"anzg_aluminium_marine",10,"gamma",500,0.010166064681039,0.0445431142800793,0.124554921843354,0.243955323632914,0.331404685243874
"anzg_aluminium_marine",10,"lgumbel",500,0.0335700903125137,0.0946455291585509,0.200260082284159,0.350422051189631,0.519585224509509
"anzg_aluminium_marine",10,"llogis",500,0.119034763509083,0.145036253788561,0.182242955633765,0.223959055833229,0.27507336169799
"anzg_aluminium_marine",10,"lnorm",500,0.123766148528355,0.19724762724091,0.247280040857469,0.277234025672777,0.295668406054593
"anzg_aluminium_marine",10,"lnorm_lnorm",500,2.27831059575803e-05,3.57412758663057e-05,9.15391484724907e-05,0.000286974311798274,0.00155895050187269
"anzg_aluminium_marine",10,"weibull",500,0.0392578785185222,0.090722470279946,0.175707776824098,0.257767460518627,0.319178716821067
"anzg_aluminium_marine",16,"gamma",500,0.00209121903229622,0.0117098923956626,0.0627243540187565,0.176069503922508,0.30610416645692
"anzg_aluminium_marine",16,"lgumbel",500,0.0171524094468834,0.0554520471567969,0.163876419449979,0.340824020595734,0.531539663282812
"anzg_aluminium_marine",16,"llogis",500,0.090199306203533,0.14301597542818,0.191902425404844,0.258098315297056,0.344479100332694
"anzg_aluminium_marine",16,"lnorm",500,0.113941432166966,0.193148885094517,0.289486888784719,0.33620609348461,0.35849627808158
"anzg_aluminium_marine",16,"lnorm_lnorm",500,0.00174890645254452,0.00248304488807198,0.00586186912072441,0.0195449290522001,0.0810283461447874
"anzg_aluminium_marine",16,"weibull",500,0.0166880045877516,0.0525211562340258,0.140558506474154,0.250581767804097,0.328725412385651
"anzg_aluminium_marine",26,"gamma",500,6.35379803468131e-05,0.00122788565671755,0.0158016627544296,0.0930229184312571,0.199422881695987
"anzg_aluminium_marine",26,"lgumbel",500,0.00441556622932303,0.0250828947791865,0.0963206429347866,0.256318672126178,0.46015451946227
"anzg_aluminium_marine",26,"llogis",500,0.0668831613679055,0.131168093533235,0.202046444778177,0.303618318314402,0.422972488166572
"anzg_aluminium_marine",26,"lnorm",500,0.098046515417442,0.194969075693406,0.335216547186604,0.419522930525986,0.452194443164822
"anzg_aluminium_marine",26,"lnorm_lnorm",500,0.00824075593685186,0.0122366543835942,0.0269472516825679,0.0880403996072698,0.278457235342805
"anzg_aluminium_marine",26,"weibull",500,0.00352582523199536,0.0186184030859811,0.0821748013416281,0.205378125619924,0.330275463830472
"anzg_ametryn_fresh",5,"gamma",500,8.06529989332725e-16,3.43465255605611e-15,1.69525982972556e-14,5.28569202993412e-14,7.93569482312392e-14
"anzg_ametryn_fresh",5,"lgumbel",500,1.03072619185189e-15,4.66078432455796e-15,1.7843468121736e-14,5.06348419234246e-14,7.74179383401918e-14
"anzg_ametryn_fresh",5,"llogis",500,8.20913580848703e-16,4.05250921022353e-15,1.84491643628391e-14,4.91714137982778e-14,7.35791923747857e-14
