"version","profile","n_samples","pct_mixture_present","present_ci_lwr","present_ci_upr","pct_mixture_wins","wins_ci_lwr","wins_ci_upr","mean_mixture_weight"
"1.0.6","lenient",1000,68,65.0089618147133,70.8846289118651,68,65.0089618147133,70.8846289118651,0.679999999999955
"1.0.6","native",1000,67.4,64.3967010717149,70.3004475760433,67.4,64.3967010717149,70.3004475760433,0.673999999999955
"2.0.0","native",1000,97.9,96.8077664819585,98.6954807709612,97.9,96.8077664819585,98.6954807709612,0.978999999999844
"2.6.0","native",1000,97.9,96.8077664819585,98.6954807709612,97.9,96.8077664819585,98.6954807709612,0.978999999999844
