"source_dist","nrow","proportion","n_sims","n_datasets","coverage","bias_median","bias_q25","bias_q75","width_median"
"gamma",16,0.01,2000,4,0.765,3.69885295106505,0.189276209512556,16.5720065999245,54.1308187519268
"gamma",16,0.05,2000,4,0.7915,1.22268513802919,-0.0889510108866019,4.38847333524049,10.984897856485
"gamma",16,0.1,2000,4,0.8115,0.593824992460271,-0.241288403554254,2.1634630327172,5.67962829055346
"gamma",16,0.2,2000,4,0.845,0.216202954436523,-0.284695950108061,1.00501661017192,3.07719930752453
"gamma",26,0.01,2000,4,0.806,2.41218044198432,0.0251279141211376,9.38570558012947,30.2255589018031
"gamma",26,0.05,2000,4,0.8285,0.883485767265616,-0.133411938424687,2.77544151897335,7.23144917731762
"gamma",26,0.1,2000,4,0.8515,0.433421162766873,-0.177429484262996,1.47054979367184,4.05870974438663
"gamma",26,0.2,2000,4,0.8915,0.200709346905799,-0.19386207485329,0.75042820512595,2.38408824979902
"lgumbel",5,0.01,7500,15,0.7848,0.632874735912727,-0.209981256636662,2.21103797742957,11.1476332109385
"lgumbel",5,0.05,7500,15,0.719466666666667,0.480878523104425,-0.108594476084334,1.58262121185173,7.29214598657693
"lgumbel",5,0.1,7500,15,0.7316,0.303960105417508,-0.165113793498136,1.19990416108953,5.90618164747867
"lgumbel",5,0.2,7500,15,0.813466666666667,0.0937808248655993,-0.296080439851705,0.819815413786309,4.95299642149021
"lgumbel",6,0.01,7500,15,0.983733333333333,-0.686814843983083,-0.903201794094831,-0.231713864536552,6.89328930329867
"lgumbel",6,0.05,7500,15,0.964533333333333,-0.136914434078023,-0.514307465919308,0.457015948534105,6.00079821166232
"lgumbel",6,0.1,7500,15,0.9468,0.0560028482923054,-0.334498691265707,0.666821056162805,5.57134606035433
"lgumbel",6,0.2,7500,15,0.9144,0.184803501372852,-0.202874331797099,0.860948887127318,4.91364882290736
"lgumbel",7,0.01,7500,15,0.99,-0.680966893322933,-0.892749361424911,-0.304283681021379,5.68159674210086
"lgumbel",7,0.05,7500,15,0.977333333333333,-0.146512426648969,-0.50103000614408,0.357096478941383,5.08227867268939
