"dataset","nrow","distribution","mean_weight","sd_weight","n_sims"
"anzg_aluminium_marine",8,"lgumbel",0.237799331290702,0.172769958940869,500
"anzg_aluminium_marine",8,"llogis",0.183287603168748,0.0500352772461381,500
"anzg_aluminium_marine",8,"lnorm",0.217116555794207,0.0536121466400739,500
"anzg_aluminium_marine",8,"lnorm_lnorm",9.82039669330701e-05,0.00208099364356846,500
"anzg_aluminium_marine",8,"weibull",0.189486839833722,0.098591072768168,500
"anzg_aluminium_marine",10,"gamma",0.153481408883245,0.124359192653781,500
"anzg_aluminium_marine",10,"lgumbel",0.242702915886907,0.183951254004774,500
"anzg_aluminium_marine",10,"llogis",0.189900478454837,0.0641606453705533,500
"anzg_aluminium_marine",10,"lnorm",0.229148445932363,0.0656665775325135,500
"anzg_aluminium_marine",10,"lnorm_lnorm",0.00610447954715885,0.0585972978143247,500
"anzg_aluminium_marine",10,"weibull",0.17866227129549,0.105691270147612,500
"anzg_aluminium_marine",16,"gamma",0.111855407044004,0.122940220374687,500
"anzg_aluminium_marine",16,"lgumbel",0.221155802720236,0.199907420141703,500
"anzg_aluminium_marine",16,"llogis",0.206063584711965,0.0979333159780871,500
"anzg_aluminium_marine",16,"lnorm",0.258900514792312,0.0938284247652724,500
"anzg_aluminium_marine",16,"lnorm_lnorm",0.0470350385121851,0.14019952038443,500
"anzg_aluminium_marine",16,"weibull",0.154989652219297,0.115998210519772,500
"anzg_aluminium_marine",26,"gamma",0.0664079102305916,0.103647989717447,500
"anzg_aluminium_marine",26,"lgumbel",0.173218165673577,0.195161857270791,500
"anzg_aluminium_marine",26,"llogis",0.225766764273599,0.136698704067545,500
"anzg_aluminium_marine",26,"lnorm",0.304362997189857,0.134161700148529,500
"anzg_aluminium_marine",26,"lnorm_lnorm",0.105758690156014,0.196240382720306,500
"anzg_aluminium_marine",26,"weibull",0.124485472476362,0.124794000318211,500
"anzg_ametryn_fresh",5,"gamma",0.00536321296465445,0.0445551137301674,500
"anzg_ametryn_fresh",5,"lgumbel",0.00961102191966152,0.0699700800538153,500
"anzg_ametryn_fresh",5,"llogis",0.00422342969744315,0.0256173323634927,500
"anzg_ametryn_fresh",5,"lnorm",0.00414033853367423,0.0259797762315162,500
"anzg_ametryn_fresh",5,"lnorm_lnorm",0.971999999999861,0.165137945615647,500
"anzg_ametryn_fresh",5,"weibull",0.00466199688470533,0.0344258346755285,500
"anzg_ametryn_fresh",6,"gamma",0.193852883836698,0.12115978876762,500
"anzg_ametryn_fresh",6,"lgumbel",0.222933404305521,0.145432533481889,500
"anzg_ametryn_fresh",6,"llogis",0.176771909343903,0.0403679157470661,500
"anzg_ametryn_fresh",6,"lnorm",0.208124572642042,0.0456465386054377,500
"anzg_ametryn_fresh",6,"lnorm_lnorm",0,0,500
"anzg_ametryn_fresh",6,"weibull",0.198317229871836,0.0775140456749035,500
"anzg_ametryn_fresh",7,"gamma",0.191047067053741,0.133275230456045,500
"anzg_ametryn_fresh",7,"lgumbel",0.219005851163412,0.157242018888203,500
"anzg_ametryn_fresh",7,"llogis",0.178827183360881,0.0487096885111244,500
"anzg_ametryn_fresh",7,"lnorm",0.210997182064241,0.054103403636479,500
"anzg_ametryn_fresh",7,"lnorm_lnorm",4.4413405921023e-12,7.50552017879223e-11,500
"anzg_ametryn_fresh",7,"weibull",0.200122716353284,0.0861266992183199,500
"anzg_ametryn_fresh",8,"gamma",0.180921923771988,0.139524682799233,500
"anzg_ametryn_fresh",8,"lgumbel",0.216407067356813,0.15910326148038,500
"anzg_ametryn_fresh",8,"llogis",0.186244080911163,0.0591342102111171,500
"anzg_ametryn_fresh",8,"lnorm",0.218941085005091,0.0593433468590259,500
"anzg_ametryn_fresh",8,"lnorm_lnorm",8.29591232652818e-06,0.000113356046878441,500
"anzg_ametryn_fresh",8,"weibull",0.197477547042618,0.0901017749205952,500
"anzg_ametryn_fresh",10,"gamma",0.160379609440822,0.151723669085983,500
"anzg_ametryn_fresh",10,"lgumbel",0.2228648953663,0.178911078496215,500
"anzg_ametryn_fresh",10,"llogis",0.195075090967896,0.077661727783003,500
"anzg_ametryn_fresh",10,"lnorm",0.229317357648719,0.0738972831235923,500
"anzg_ametryn_fresh",10,"lnorm_lnorm",0.002896661694484,0.0344184859727259,500
"anzg_ametryn_fresh",10,"weibull",0.189466384881778,0.10192574571655,500
"anzg_ametryn_fresh",16,"gamma",0.110888083227398,0.155091844404216,500
"anzg_ametryn_fresh",16,"lgumbel",0.201049751058776,0.205755801343296,500
"anzg_ametryn_fresh",16,"llogis",0.225307087324577,0.119035826829529,500
"anzg_ametryn_fresh",16,"lnorm",0.249256756335475,0.108070383528675,500
"anzg_ametryn_fresh",16,"lnorm_lnorm",0.0374913730113224,0.124087055018694,500
"anzg_ametryn_fresh",16,"weibull",0.176006949042451,0.135071739616522,500
"anzg_ametryn_fresh",26,"gamma",0.0548663225351271,0.110672540840295,500
"anzg_ametryn_fresh",26,"lgumbel",0.158461688577915,0.213205710633961,500
"anzg_ametryn_fresh",26,"llogis",0.266434921250925,0.163579618963168,500
"anzg_ametryn_fresh",26,"lnorm",0.277948850190795,0.141316927579045,500
"anzg_ametryn_fresh",26,"lnorm_lnorm",0.0843189028792749,0.170106703066146,500
"anzg_ametryn_fresh",26,"weibull",0.157969314565962,0.164920823787554,500
"anzg_ammonia_fresh",5,"gamma",0.00536480233906391,0.0380446610076211,500
"anzg_ammonia_fresh",5,"lgumbel",0.00928286852320621,0.0681972358301802,500
"anzg_ammonia_fresh",5,"llogis",0.00465086544580263,0.0268307790360577,500
"anzg_ammonia_fresh",5,"lnorm",0.00462544728831926,0.0276697192818044,500
"anzg_ammonia_fresh",5,"lnorm_lnorm",0.969999999999835,0.17075806462143,500
"anzg_ammonia_fresh",5,"weibull",0.00607601640377303,0.0430669062652509,500
"anzg_ammonia_fresh",6,"gamma",0.196802320626932,0.0818711801390658,500
"anzg_ammonia_fresh",6,"lgumbel",0.216595907062424,0.14240334513677,500
"anzg_ammonia_fresh",6,"llogis",0.174971839431502,0.0310133084127281,500
"anzg_ammonia_fresh",6,"lnorm",0.206007924812314,0.0368139462766006,500
"anzg_ammonia_fresh",6,"lnorm_lnorm",0,0,500
"anzg_ammonia_fresh",6,"weibull",0.205622008066829,0.0907659780019435,500
"anzg_ammonia_fresh",7,"gamma",0.193327841189255,0.0931157567258695,500
"anzg_ammonia_fresh",7,"lgumbel",0.219331714880058,0.162400945193064,500
"anzg_ammonia_fresh",7,"llogis",0.176787426771685,0.0384167653506625,500
"anzg_ammonia_fresh",7,"lnorm",0.207131775495644,0.0442301141076047,500
"anzg_ammonia_fresh",7,"lnorm_lnorm",3.21497131785854e-12,2.93596200062302e-11,500
"anzg_ammonia_fresh",7,"weibull",0.203421241660143,0.101031121612216,500
"anzg_ammonia_fresh",8,"gamma",0.187692380711395,0.1015558430844,500
"anzg_ammonia_fresh",8,"lgumbel",0.224642820216872,0.175062087038205,500
