"source_dist","nrow","distribution","mean_weight","n_datasets"
"llogis",10,"weibull",0.189118556443773,5
"llogis",16,"gamma",0.132103274393164,5
"llogis",16,"lgumbel",0.215046047699069,5
"llogis",16,"llogis",0.219425690581925,5
"llogis",16,"lnorm",0.235996744665016,5
"llogis",16,"lnorm_lnorm",0.0332419522316698,5
"llogis",16,"weibull",0.164186290429156,5
"llogis",26,"gamma",0.0869619152456424,5
"llogis",26,"lgumbel",0.171491596304512,5
"llogis",26,"llogis",0.268835608504943,5
"llogis",26,"lnorm",0.26249602269101,5
"llogis",26,"lnorm_lnorm",0.0784945749421628,5
"llogis",26,"weibull",0.131720282311729,5
"lnorm",5,"gamma",0.00703701317342141,10
"lnorm",5,"lgumbel",0.00916393892904494,10
"lnorm",5,"llogis",0.0049813106043928,10
"lnorm",5,"lnorm",0.00515958966615649,10
"lnorm",5,"lnorm_lnorm",0.966599999999781,10
"lnorm",5,"weibull",0.0070581476272033,10
"lnorm",6,"gamma",0.186382327808912,10
"lnorm",6,"lgumbel",0.230832032397611,10
"lnorm",6,"llogis",0.177209037767595,10
"lnorm",6,"lnorm",0.208873911616691,10
"lnorm",6,"lnorm_lnorm",0,10
"lnorm",6,"weibull",0.19670269040919,10
"lnorm",7,"gamma",0.179141355333003,10
"lnorm",7,"lgumbel",0.233256792534824,10
"lnorm",7,"llogis",0.180181139846508,10
"lnorm",7,"lnorm",0.213998725326801,10
"lnorm",7,"lnorm_lnorm",1.87114860884898e-11,10
"lnorm",7,"weibull",0.193421986940153,10
"lnorm",8,"gamma",0.172365596794169,10
"lnorm",8,"lgumbel",0.235835171656783,10
"lnorm",8,"llogis",0.182834806878813,10
"lnorm",8,"lnorm",0.21847135480672,10
"lnorm",8,"lnorm_lnorm",2.13394801769858e-05,10
"lnorm",8,"weibull",0.190471730383337,10
"lnorm",10,"gamma",0.158641302212565,10
"lnorm",10,"lgumbel",0.233724841961417,10
"lnorm",10,"llogis",0.18995234899938,10
"lnorm",10,"lnorm",0.229563166821111,10
"lnorm",10,"lnorm_lnorm",0.0033441357802218,10
"lnorm",10,"weibull",0.184774204225305,10
"lnorm",16,"gamma",0.119207447511712,10
"lnorm",16,"lgumbel",0.216491127297313,10
"lnorm",16,"llogis",0.208098267358617,10
"lnorm",16,"lnorm",0.257796733467383,10
"lnorm",16,"lnorm_lnorm",0.0346721306210154,10
"lnorm",16,"weibull",0.163734293743959,10
"lnorm",26,"gamma",0.0711207937815436,10
"lnorm",26,"lgumbel",0.178522962168734,10
"lnorm",26,"llogis",0.232252466477123,10
"lnorm",26,"lnorm",0.305037937599345,10
"lnorm",26,"lnorm_lnorm",0.084137491586027,10
"lnorm",26,"weibull",0.128928348387227,10
"lnorm_lnorm",5,"gamma",0.0189572293206974,1
"lnorm_lnorm",5,"lgumbel",0.131273808603406,1
"lnorm_lnorm",5,"llogis",0.0403416999326006,1
"lnorm_lnorm",5,"lnorm",0.0349702289987055,1
"lnorm_lnorm",5,"lnorm_lnorm",0.749999999998843,1
"lnorm_lnorm",5,"weibull",0.0244570331457474,1
"lnorm_lnorm",6,"gamma",0.101540282977685,1
"lnorm_lnorm",6,"lgumbel",0.461437252679533,1
"lnorm_lnorm",6,"llogis",0.1616649759989,1
"lnorm_lnorm",6,"lnorm",0.167409237987156,1
"lnorm_lnorm",6,"lnorm_lnorm",0,1
"lnorm_lnorm",6,"weibull",0.107948250356725,1
"lnorm_lnorm",7,"gamma",0.0784820676514647,1
"lnorm_lnorm",7,"lgumbel",0.531807648049574,1
"lnorm_lnorm",7,"llogis",0.151878362874086,1
"lnorm_lnorm",7,"lnorm",0.150524134779348,1
"lnorm_lnorm",7,"lnorm_lnorm",7.67567361427078e-11,1
"lnorm_lnorm",7,"weibull",0.08730778656877,1
"lnorm_lnorm",8,"gamma",0.0582593933711671,1
"lnorm_lnorm",8,"lgumbel",0.599981261701402,1
"lnorm_lnorm",8,"llogis",0.142652012862367,1
"lnorm_lnorm",8,"lnorm",0.134098005999914,1
"lnorm_lnorm",8,"lnorm_lnorm",0.000510533929613446,1
"lnorm_lnorm",8,"weibull",0.0644987921355366,1
"lnorm_lnorm",10,"gamma",0.0280613241888985,1
"lnorm_lnorm",10,"lgumbel",0.550710958001398,1
"lnorm_lnorm",10,"llogis",0.0985204311167937,1
"lnorm_lnorm",10,"lnorm",0.0851276667290452,1
"lnorm_lnorm",10,"lnorm_lnorm",0.204481051213179,1
"lnorm_lnorm",10,"weibull",0.0330985687506847,1
"lnorm_lnorm",16,"gamma",0.0024416243372364,1
"lnorm_lnorm",16,"lgumbel",0.104598424247467,1
"lnorm_lnorm",16,"llogis",0.0196758393332215,1
"lnorm_lnorm",16,"lnorm",0.0121483013130931,1
"lnorm_lnorm",16,"lnorm_lnorm",0.859186577883179,1
"lnorm_lnorm",16,"weibull",0.00194923288580338,1
"lnorm_lnorm",26,"gamma",0.000498928524358527,1
"lnorm_lnorm",26,"lgumbel",0.00705268537067243,1
"lnorm_lnorm",26,"llogis",0.00254467004913959,1
"lnorm_lnorm",26,"lnorm",0.00380301630807056,1
"lnorm_lnorm",26,"lnorm_lnorm",0.985510849136152,1
"lnorm_lnorm",26,"weibull",0.000589850611606606,1
"weibull",5,"gamma",0.0144488960848104,6
"weibull",5,"lgumbel",0.00407396755389839,6
"weibull",5,"llogis",0.00573104202743465,6
"weibull",5,"lnorm",0.00570881914792496,6
"weibull",5,"lnorm_lnorm",0.955666666666482,6
"weibull",5,"weibull",0.0143706085194498,6
"weibull",6,"gamma",0.248559816472956,6
"weibull",6,"lgumbel",0.154361904875806,6
"weibull",6,"llogis",0.16106592744638,6
"weibull",6,"lnorm",0.188490747429951,6
"weibull",6,"lnorm_lnorm",0,6
"weibull",6,"weibull",0.247521603774908,6
"weibull",7,"gamma",0.257032601537392,6
"weibull",7,"lgumbel",0.140769276069075,6
"weibull",7,"llogis",0.158411497320161,6
"weibull",7,"lnorm",0.186192320758018,6
"weibull",7,"lnorm_lnorm",1.38354818498135e-11,6
"weibull",7,"weibull",0.257594304301519,6
"weibull",8,"gamma",0.265147305591957,6
"weibull",8,"lgumbel",0.127770616886197,6
"weibull",8,"llogis",0.156630060700468,6
"weibull",8,"lnorm",0.183617888742126,6
"weibull",8,"lnorm_lnorm",1.08994855508672e-05,6
"weibull",8,"weibull",0.266823228593701,6
"weibull",10,"gamma",0.278513405875374,6
"weibull",10,"lgumbel",0.102725942754372,6
"weibull",10,"llogis",0.15154224273429,6
"weibull",10,"lnorm",0.177232632332699,6
"weibull",10,"lnorm_lnorm",0.0042286456038015,6
"weibull",10,"weibull",0.285757130699463,6
"weibull",16,"gamma",0.294442957784358,6
"weibull",16,"lgumbel",0.0522075455039268,6
"weibull",16,"llogis",0.133313426919814,6
"weibull",16,"lnorm",0.15614344869634,6
"weibull",16,"lnorm_lnorm",0.0398014307473953,6
"weibull",16,"weibull",0.324091190348166,6
"weibull",26,"gamma",0.300177532500055,6
"weibull",26,"lgumbel",0.0165311547745408,6
"weibull",26,"llogis",0.104802997658094,6
"weibull",26,"lnorm",0.124575057526313,6
"weibull",26,"lnorm_lnorm",0.0890716820081748,6
"weibull",26,"weibull",0.364841575532822,6
